,color,median,prot,q1,q3
0,black,0.524313431,GS0,0.495099846,0.550604648
1,darkgrey,0.47554,GS8,0.44321,0.51332
2,grey,0.436062626,GS16,0.40324521,0.474438268
3,white,0.46152352,GS24,0.426624636,0.500831995
4,silver,0.385140837,GS32,0.356486359,0.421650815
5,lightgray,0.333889089,GS48,0.299515625,0.374629435
6,gainsboro,0.312723045,GS64,0.278053237,0.358086883
7,darkslateblue,0.59755587,PUMA,0.548228606,0.62851135
8,gold,0.368858453,Ash1,0.331890854,0.408758912
9,teal,0.627145958,E1A,0.590190237,0.649795251
10,darkorange,0.420115268,FUS,0.369710483,0.477071056
11,royalblue,0.333474885,p53,0.313617344,0.354296409
12,darkslateblue,0.59755587,PUMA WT,0.548228606,0.62851135
13,blueviolet,0.47856889,PUMA S1,0.443715517,0.52319764
14,violet,0.586883211,PUMA S2,0.560939163,0.611020547
15,darkmagenta,0.503293106,PUMA S3,0.47586655,0.534673522
